"","study_no","amount","unit","ingredient","rating"
"1610",149,2,NA,"large bananas, mashed",4
"1619",150,3,NA,"ripe bananas, mashed",3
"1637",151,1.33333333333333,"cups","mashed bananas",4.59999990463257
"1679",153,3,NA,"medium bananas, mashed",4.25
"1684",154,2,"cups","mashed bananas",4.5
"1695",155,1,"cup","mashed banana",5
"1720",156,6,NA,"very ripe bananas, mashed",4.66666650772095
"1738",157,1,"cup","mashed ripe bananas",3
"1746",159,6,NA,"large over-ripe bananas, mashed",5
"1763",160,2,NA,"large bananas, mashed",4.33333349227905
"1779",161,3,NA,"bananas, mashed",3
"1816",164,1.75,"cups","mashed bananas",4
"1826",165,3,NA,"ripe bananas, mashed",4.5
"1835",166,1,"cup","mashed ripe bananas",5
"1853",167,1,NA,"large banana, mashed",4
"1865",168,6,NA,"ripe bananas, mashed",4
"1875",169,1,"cup","mashed bananas",5
"1884",170,3,NA,"over-ripe bananas, mashed",5
"1899",171,6,NA,"very ripe bananas, mashed",0
"1921",172,5,NA,"large ripe bananas, coarsely mashed, or more to taste",0
"1925",173,1,"cup","banana, mashed",0
"1947",175,2.5,"cups","mashed ripe bananas",0
"1963",176,2,NA,"large overripe bananas, mashed",0
"1975",177,1,"cup","ripe banana, mashed",0
