"a" "b" "c"
"1" "3" "cups" "white sugar"
"2" "0.75" "cup" "butter, softened"
"3" "3" NA "eggs"
"4" "2" "cups" "mashed ripe banana"
"5" "0.5" "cup" "sour cream"
"6" "1.5" "cups" "all-purpose flour"
"7" "1" "teaspoon" "baking soda"
"8" "0.5" "teaspoon" "baking powder"
"9" "0.5" "teaspoon" "ground cinnamon"
"10" "1.5" "cups" "chopped pecans"
